timestamp,test-class,test-method,time,description,result
2021-06-04 18:59:37.58,acme.testing.administrator.dashboard.AdministratorDashboardTest,dashboardNegative,304,"dashboardNegative()",OK
2021-06-04 18:59:41.87,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4012,"[1] recordIndex=0, value=15",OK
2021-06-04 18:59:46.092,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4003,"[2] recordIndex=1, value=3",OK
2021-06-04 18:59:50.294,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,3998,"[3] recordIndex=2, value=7",OK
2021-06-04 18:59:54.605,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4091,"[4] recordIndex=3, value=11",OK
2021-06-04 18:59:58.89,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4060,"[5] recordIndex=4, value=4.17",OK
2021-06-04 19:00:03.183,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4066,"[6] recordIndex=5, value=7",OK
2021-06-04 19:00:07.396,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4007,"[7] recordIndex=6, value=1",OK
2021-06-04 19:00:11.693,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4089,"[8] recordIndex=7, value=2.00",OK
2021-06-04 19:00:15.997,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4079,"[9] recordIndex=8, value=168,337,216.23",OK
2021-06-04 19:00:20.362,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4142,"[10] recordIndex=9, value=168,337,270.71",OK
2021-06-04 19:00:24.789,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4197,"[11] recordIndex=10, value=2018/11/20 01:45",OK
2021-06-04 19:00:29.039,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4025,"[12] recordIndex=11, value=2018/11/21 02:45",OK
2021-06-04 19:00:33.367,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4083,"[13] recordIndex=12, value=2021/12/24 01:18",OK
2021-06-04 19:00:37.84,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4178,"[14] recordIndex=13, value=2021/12/24 02:18",OK
2021-06-04 19:00:42.165,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4084,"[15] recordIndex=14, value=2.35",OK
2021-06-04 19:00:46.433,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4031,"[16] recordIndex=15, value=2.02",OK
2021-06-04 19:01:19.686,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,33046,"[17] recordIndex=16, value=0.58",Cannot find 'By.id: 16'
2021-06-04 19:01:52.905,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,32991,"[18] recordIndex=17, value=null",Cannot find 'By.id: 17'
2021-06-04 19:02:26.033,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,32840,"[19] recordIndex=18, value=10.33",Timeout waiting for action to complete
2021-06-04 19:02:34.006,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,5955,"[20] recordIndex=19, value=14.17",OK
2021-06-04 19:02:38.522,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4216,"[21] recordIndex=20, value=3.73",OK
2021-06-04 19:02:42.842,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4054,"[22] recordIndex=21, value=4.41",OK
