timestamp,test-class,test-method,time,description,result
2021-06-06 21:20:24.235,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,4206,"[1] recordIndex=0, moment=2021/05/24 11:30, author=The PSM Gang, text=Have you heard about octave?, timeAttribute=02-06-2021-aaanda, isFlag=true, amount=50.00, currency=EUR",OK
2021-06-06 21:20:26.038,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1530,"[2] recordIndex=1, moment=2021/05/24 11:35, author=Astrazeneca, text=Go, vaccines, go!, timeAttribute=02-06-2021-aaanda, isFlag=true, amount=33.00, currency=PST",Expected value '02-06-2021-aaanda' in attribute 4 of record 1, but found '02-06-2021-abbbb'
2021-06-06 21:20:29.976,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3678,"[3] recordIndex=2, moment=2021/05/24 11:35, author=Coyote, text=So acme has a webpage..., timeAttribute=02-06-2021-aaaaaaaa, isFlag=true, amount=20.00, currency=EUR",OK
2021-06-06 21:20:31.674,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1463,"[4] recordIndex=3, moment=2021/05/24 12:30, author=indevelopers, text=Please, no mean comments on our web!, timeAttribute=02-06-2021-aaaaaaaa, isFlag=true, amount=33.00, currency=EUR",Expected value '02-06-2021-aaaaaaaa' in attribute 4 of record 3, but found '02-06-2021-apainfor'
2021-06-06 21:20:35.585,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3671,"[5] recordIndex=4, moment=2021/05/24 12:30, author=Github geek, text=Sonarcloud knows best, timeAttribute=02-06-2021-aaaap, isFlag=true, amount=45.00, currency=PST",OK
2021-06-06 21:20:39.501,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,3678,"[6] recordIndex=5, moment=2021/05/24 12:30, author=Asunción Pereira Adolfo, text=Hi, i'm new!, timeAttribute=02-06-2021-equisde, isFlag=true, amount=33.00, currency=EUR",OK
2021-06-06 21:20:40.776,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutsWithAnonymous,1019,"[7] recordIndex=6, moment=2021/05/24 12:30, author=Cool features!, text=02-06-2021-tuspadentro, timeAttribute=02-06-2021-tuspadentro, isFlag=true, amount=30.00, currency=PST",Expected value 'Cool features!' in attribute 1 of record 6, but found 'Twitch prime'
2021-06-06 21:20:44.677,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative,3660,"listShoutNegative()",OK
2021-06-06 21:20:48.486,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNegative2,3576,"listShoutNegative2()",OK
2021-06-06 21:20:49.75,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1016,"[1] recordIndex=0",OK
2021-06-06 21:20:51.024,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1038,"[2] recordIndex=1",OK
2021-06-06 21:20:52.269,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,988,"[3] recordIndex=2",OK
2021-06-06 21:20:53.57,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1056,"[4] recordIndex=3",OK
2021-06-06 21:20:54.834,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1033,"[5] recordIndex=4",OK
2021-06-06 21:20:56.08,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,1002,"[6] recordIndex=5",OK
2021-06-06 21:20:57.302,acme.testing.anonymous.shout.AnonymousShoutListTest,listShoutNotOlderThanOneMonth,982,"[7] recordIndex=6",OK
2021-06-06 21:21:11.452,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,5851,"[1] recordIndex=7, author=Coyote, text=Hello, timeAttribute=ola, amount=400.00, currency=EUR, isFlag=false",OK
2021-06-06 21:21:15.069,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,3347,"[2] recordIndex=8, author=José Mota, text=Play tennis, timeAttribute=joao, amount=400.00, currency=PSD, isFlag=false",Record index 8 is out of range
2021-06-06 21:21:18.425,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,3109,"[3] recordIndex=9, author=Pablo, text=to eat, timeAttribute=pepeLu, amount=400.00, currency=EUR, isFlag=true",Record index 9 is out of range
2021-06-06 21:21:21.946,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousPositive,3251,"[4] recordIndex=10, author=Juanito, text=This is very interesting, timeAttribute=mimimi, amount=400.00, currency=PSD, isFlag=false",Record index 10 is out of range
2021-06-06 21:21:24.434,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,2222,"[1] recordIndex=0, author=null, text=null, timeAttribute=null, amount=null, currency=null, isFlag=true",OK
2021-06-06 21:21:27.016,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createShoutWithAnonymousNegative,2343,"[2] recordIndex=0, author=nigeria, text=milliondollar, timeAttribute=null, amount=null, currency=null, isFlag=false",OK
