timestamp,test-class,test-method,time,description,result
2021-06-04 19:02:36.932,acme.testing.administrator.dashboard.AdministratorDashboardTest,dashboardNegative,457,"dashboardNegative()",OK
2021-06-04 19:02:41.431,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4153,"[1] recordIndex=0, value=15",OK
2021-06-04 19:02:45.708,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4058,"[2] recordIndex=1, value=3",OK
2021-06-04 19:02:49.938,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4024,"[3] recordIndex=2, value=7",OK
2021-06-04 19:02:54.212,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4056,"[4] recordIndex=3, value=11",OK
2021-06-04 19:02:58.452,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4024,"[5] recordIndex=4, value=4.17",OK
2021-06-04 19:03:02.749,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4068,"[6] recordIndex=5, value=7",OK
2021-06-04 19:03:07.05,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4090,"[7] recordIndex=6, value=1",OK
2021-06-04 19:03:11.377,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4067,"[8] recordIndex=7, value=2.00",OK
2021-06-04 19:03:15.687,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4077,"[9] recordIndex=8, value=168,337,216.23",OK
2021-06-04 19:03:20.02,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4106,"[10] recordIndex=9, value=168,337,270.71",OK
2021-06-04 19:03:24.473,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4234,"[11] recordIndex=10, value=2018/11/20 01:45",OK
2021-06-04 19:03:28.828,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4118,"[12] recordIndex=11, value=2018/11/21 02:45",OK
2021-06-04 19:03:33.098,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4065,"[13] recordIndex=12, value=2021/12/24 01:18",OK
2021-06-04 19:03:37.382,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4076,"[14] recordIndex=13, value=2021/12/24 02:18",OK
2021-06-04 19:03:41.712,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4101,"[15] recordIndex=14, value=2.35",OK
2021-06-04 19:03:46.017,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4085,"[16] recordIndex=15, value=2.02",OK
2021-06-04 19:03:50.432,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4173,"[17] recordIndex=16, value=0.58",OK
2021-06-04 19:03:53.79,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,3128,"[18] recordIndex=17, value=null",null
2021-06-04 19:03:58.094,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4066,"[19] recordIndex=18, value=10.33",OK
2021-06-04 19:04:02.337,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4001,"[20] recordIndex=19, value=14.17",OK
2021-06-04 19:04:06.698,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4157,"[21] recordIndex=20, value=3.73",OK
2021-06-04 19:04:11.05,acme.testing.administrator.dashboard.AdministratorDashboardTest,checkDashboard,4135,"[22] recordIndex=21, value=4.41",OK
